調達機関名,課所名,調達案件名称,入札方式,開札日,年度,設計額,予定価格,調査基準価格,落札金額,落札業者名,参加業者数,分野分類,不調,落札率,調査価格率
日高市,日高市 総合政策部 管財課,河川復旧詳細設計業務（聖天谷川）,指名競争入札,2025-01-16,2024,3932000,3932000,3247000,3800000,共和コンサルタント株式会社 本店,5,河川・砂防,false,0.966,0.826
日高市,日高市 総合政策部 管財課,環境影響評価事後調査業務委託,指名競争入札,2024-12-04,2024,7886000,7886000,6212000,7800000,株式会社オオバ 北関東支店,5,測定・検査・調査,false,0.989,0.788
日高市,日高市 総合政策部 管財課,日高市学校跡地公募支援業務（旧武蔵台中学校及び旧高根中学校）,指名競争入札,2024-10-24,2024,3697000,3697000,,3500000,株式会社ＵＲリンケージ 埼玉事務所,5,発注者支援,false,0.947,
日高市,日高市 総合政策部 管財課,大谷沢地区農業集落排水施設ポンプ場化基本設計業務,指名競争入札,2024-10-24,2024,7130000,7130000,,5000000,株式会社光エンジニアリング 事業本部,5,下水道,false,0.701,
日高市,日高市 総合政策部 管財課,下水道管路管理システムデータ更新業務（R6）,指名競争入札,2024-10-10,2024,4100000,4100000,,3800000,朝日航洋株式会社 埼玉支店,5,下水道,false,0.927,
日高市,日高市 総合政策部 管財課,中鹿山２号ポンプ施設改築実施設計業務,指名競争入札,2024-07-25,2024,2472000,2472000,,2300000,山田・エンジニアリング株式会社 埼玉支店,5,下水道,false,0.93,
日高市,日高市 総合政策部 管財課,あいあい橋保守点検委託,指名競争入札,2024-07-25,2024,3011000,3011000,,2700000,共和コンサルタント株式会社 本店,5,橋梁,false,0.897,
日高市,日高市 総合政策部 管財課,清算金徴収交付事務業務,指名競争入札,2024-07-25,2024,18842000,18842000,14984000,17340000,昭和株式会社 埼玉支社,5,その他,false,0.92,0.795
日高市,日高市 総合政策部 管財課,排水対策検討業務（高根地区）,指名競争入札,2024-07-11,2024,4759000,4759000,,4500000,共和コンサルタント株式会社 本店,5,下水道,false,0.946,
日高市,日高市 総合政策部 管財課,用地測量業務（幹線16号）,指名競争入札,2024-06-27,2024,3241000,3241000,2494000,3000000,株式会社大成 本店,5,測量,false,0.926,0.77
日高市,日高市 総合政策部 管財課,路線測量業務（生涯学習センター駐車場内）,指名競争入札,2024-06-27,2024,2748000,2748000,2108000,2550000,日南技術株式会社 本店,5,測量,false,0.928,0.767
日高市,日高市 総合政策部 管財課,路線測量業務（幹線66号）,指名競争入札,2024-06-27,2024,6519000,6519000,5083000,6100000,株式会社ミカミ・アイエヌジー 本店,5,測量,false,0.936,0.78
日高市,日高市 総合政策部 管財課,雨水排水調査業務（旭ケ丘外）,指名競争入札,2024-06-14,2024,3835000,3835000,,3450000,株式会社セントラル測量 本店,5,下水道,false,0.9,
