取得日時,入札方式,調達案件名称,案件番号,開札日,年度,設計額,予定価格,調査基準価格,課所名,発注部局,落札業者名,落札金額,参加業者数,分野分類,発注方式,不調,落札率,調査価格率
2026/05/20 14:48:42,一般競争入札（ダイレクト入札）,道路構造物維持工事（橋梁詳細点検業務委託）その２,25100154463,2025-08-21,2025,14162000,14162000,11369000,埼玉県 県土整備部 本庄県土整備事務所,県土整備部,株式会社アイ・ディー・エー 埼玉営業所,11369000,54,橋梁,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:48:44,一般競争入札（ダイレクト入札）,道路構造物維持工事（橋梁詳細点検業務委託）その１,25100154462,2025-08-21,2025,15075000,15075000,12123000,埼玉県 県土整備部 本庄県土整備事務所,県土整備部,株式会社日本インシーク 埼玉支店,12123000,52,橋梁,一般競争入札（ダイレクト入札）,false,0.804,0.804
2026/05/20 14:48:46,一般競争入札（ダイレクト入札）,総委重）道路改築工事（ルート検討業務委託）,25000087543,2025-08-21,2025,17222000,17222000,13836000,埼玉県 県土整備部 本庄県土整備事務所,県土整備部,株式会社エイト日本技術開発 北関東支店,13836000,9,道路,総合評価,false,0.803,0.803
2026/05/20 14:48:48,指名競争入札,橋りょう修繕工事（工事監督支援業務委託）３８３,25000093341,2025-08-21,2025,8788000,8788000,7114000,埼玉県 県土整備部 熊谷県土整備事務所,県土整備部,株式会社アイ・ディー・エー 埼玉営業所,7114000,12,施工監理,指名競争入札,false,0.81,0.81
2026/05/20 14:48:51,指名競争入札,７滑群１設第１号甚太沼実施設計業務委託,25000099942,2025-08-21,2025,3430000,3430000,2756000,埼玉県 農林部 東松山農林振興センター,農林部,株式会社日本水工コンサルタント 関東支店,3250000,10,農林土木,指名競争入札,false,0.948,0.803
2026/05/20 14:48:53,指名競争入札,道路構造物維持工事（橋りょう点検業務委託その８）,25100154505,2025-08-20,2025,8743000,8743000,7026000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,株式会社オオバ 北関東支店,7026000,19,橋梁,指名競争入札,false,0.804,0.804
2026/05/20 14:48:55,指名競争入札,道路構造物維持工事（橋りょう点検業務委託その７）,25100154504,2025-08-20,2025,8827000,8827000,7109000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,共和コンサルタント株式会社 本店,7109000,19,橋梁,指名競争入札,false,0.805,0.805
2026/05/20 14:48:57,指名競争入札,道路構造物維持工事（橋りょう点検業務委託その６）,25100154523,2025-08-20,2025,8848000,8848000,7115000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,株式会社なドマン技術研究所 本店,7115000,19,橋梁,指名競争入札,false,0.804,0.804
2026/05/20 14:49:00,指名競争入札,道路構造物維持工事（橋りょう点検業務委託その５）,25100154503,2025-08-20,2025,8880000,8880000,7131000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,株式会社日本設計コンサルタント 本店,7131000,19,橋梁,指名競争入札,false,0.803,0.803
2026/05/20 14:49:05,指名競争入札,道路構造物維持工事（橋りょう点検業務委託その４）,25100154502,2025-08-20,2025,8900000,8900000,7165000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,株式会社日本インシーク 埼玉支店,7165000,19,橋梁,指名競争入札,false,0.805,0.805
2026/05/20 14:49:07,指名競争入札,道路構造物維持工事（橋りょう点検業務委託その３）,25100154501,2025-08-20,2025,8920000,8920000,7163000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,株式会社東洋シビル 本店,7163000,19,橋梁,指名競争入札,false,0.803,0.803
2026/05/20 14:49:10,指名競争入札,道路構造物維持工事（橋りょう点検業務委託その２）,25100154500,2025-08-20,2025,8970000,8970000,7215000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,株式会社ジェーエステック 本店,7215000,19,橋梁,指名競争入札,false,0.804,0.804
2026/05/20 14:49:12,一般競争入札（ダイレクト入札）,河改（水辺）（入間川護岸詳細設計）上奥富地区,25000083286,2025-08-19,2025,10918000,10918000,8773000,埼玉県 県土整備部 川越県土整備事務所,県土整備部,共和コンサルタント株式会社 本店,8773000,13,河川・砂防,一般競争入札（ダイレクト入札）,false,0.804,0.804
2026/05/20 14:49:14,指名競争入札,河川改修工事（戸井橋迂回路予備設計業務委託）,25000090436,2025-08-19,2025,7432000,7432000,5973000,埼玉県 県土整備部 総合治水事務所,県土整備部,株式会社ジェーエステック 本店,5973000,12,河川・砂防,指名競争入札,false,0.804,0.804
2026/05/20 14:49:16,一般競争入札（ダイレクト入札）,橋りょう修繕工事（明ヶ平橋・眼鏡橋補修設計業務委託）,25000080213,2025-08-19,2025,9388000,9388000,7542000,埼玉県 県土整備部 秩父県土整備事務所,県土整備部,サンコーコンサルタント株式会社 北関東支店,7542000,53,橋梁,一般競争入札（ダイレクト入札）,false,0.803,0.803
